,Local,"Área plantada (ha)","Área colhida (ha)","Variação da área colhida em relação ao ano anterior(%)","Participação no total da área colhida(%)","Valor da produção (1 000 R$)","Variação do valor da produção em relação ao ano anterior (%)","Participação no total do valor da produção (%)"
0,Brasil ,77337268.0,75459762.0,-0.6904483479798662,100.0,320151377.0,19.13246242265163,100.0
1,Mato Grosso ,14551044.0,14297088.0,1.3052043359522703,18.94663807712513,43698993.0,18.86094374391334,13.649478384095785
2,Paraná,10732006.0,10704291.0,0.8001358278805437,14.185429050253298,40157076.0,19.426564430163108,12.543152672430955
3,Rio Grande do Sul ,8934034.0,8869923.0,-0.8047965714619298,11.754506991421469,38412336.0,16.237964496530033,11.99817922382386
4,São Paulo ,8631378.0,8624268.0,2.3644698079301474,11.428962630441374,52123637.0,31.566054853158843,16.28093481540765
5,Goiás ,6345627.0,6049297.0,-1.0629850623727233,8.016586376193448,23976521.0,24.068181580622028,7.4891200608517146
6,Minas Gerais,5534141.0,5373130.0,0.7190185447475628,7.12052338569528,38079674.0,40.77046166822262,11.89427150269605
7,Mato Grosso do Sul,4945499.0,4899405.0,3.283855763654464,6.492738474314297,15390415.0,17.119734310507173,4.80723061203638
8,Bahia ,4574500.0,4315806.0,-10.943651788057828,5.719347484822441,15790186.0,-4.52362232505279,4.932099979691794
9,Maranhão,1597851.0,1584338.0,-13.3935804661099,2.0995799059106495,2930141.0,-24.60695224247502,0.9152361071993764
10,Santa Catarina,1577861.0,1573363.0,-0.49840505323656137,2.085035730698435,10797612.0,28.73948096976575,3.3726583034499957
11,Pará,1567967.0,1565725.0,6.609013244036577,2.0749137798764856,9871141.0,-5.073545074035524,3.0832730105671233
12,Ceará ,1438053.0,1435573.0,-3.845836980932904,1.9024351017698677,1950570.0,17.896399952129926,0.6092649103302155
13,Piauí ,1491070.0,1343593.0,-9.24875871567007,1.7805423240004388,1728060.0,-35.35784437866569,0.5397634132306106
14,Tocantins ,1232549.0,1200125.0,-0.2848233521913879,1.5904171550395296,3325347.0,4.149575129734906,1.0386795868755547
15,Espírito Santo,616289.0,613805.0,-4.766005247291405,0.813420270262713,5339113.0,12.338547002450607,1.667683909415139
16,Rondônia,626280.0,608004.0,-0.6475839383496163,0.8057327294512273,2632113.0,31.363088057901088,0.8221463935793097
17,Pernambuco,858635.0,584297.0,-4.449975388751437,0.7743159857832577,3359378.0,13.075381725317992,1.049309245982097
18,Alagoas ,455548.0,404493.0,-5.625472464092729,0.5360380012860364,1941445.0,4.078223581260776,0.6064146961329484
19,Paraíba ,362119.0,332362.0,15.481662931498752,0.4404493085997276,1423595.0,25.550542296288327,0.44466308823653755
20,Sergipe ,361499.0,262675.0,-23.43845638170743,0.34809942814290884,1001456.0,-10.60495831767475,0.31280702565899005
21,Rio Grande do Norte ,280160.0,204136.0,-10.854138372250432,0.27052298415677484,1265355.0,24.334530147331932,0.39523646965291676
22,Distrito Federal,166489.0,166419.0,3.609094644569244,0.220540054181459,764001.0,18.19633251493309,0.23863742432068316
23,Rio de Janeiro,123978.0,123939.0,-16.41781985918912,0.16424515094548003,1274184.0,-1.4397465340652893,0.39799422758690806
24,Amazonas,123625.0,119475.0,1.0299601714909068,0.15832941535119074,1653852.0,21.513931636051574,0.5165843781455921
25,Acre,107294.0,106538.0,-0.9860686437606292,0.14118517893019594,579657.0,5.469654073173746,0.18105716284331333
26,Roraima ,64121.0,61462.0,-5.607175218466354,0.08145003160757384,501402.0,-7.218051512835643,0.1566140382397918
27,Amapá ,37651.0,36232.0,7.500593401376698,0.048014993739312346,184125.0,2.9804917335958248,0.0575118563366354